tier,model_name,symbol,window,n_passed,win_rate,wilson_ci_lower,wilson_ci_upper,recency_weighted_ev,ev_per_trade,roi_pct,sharpe,raw_p,cross_cell_adj_p,best_confidence_threshold,wf_ev_pos_folds,wf_n_folds,wf_mean_roi_pct,wf_robust,walk_forward_skipped,walk_forward_skip_reason,train_win_rate,test_win_rate,train_test_gap_pct,decay_slope_negative,kelly_multiplier,tier_reason
blocked,h300_eth_v3_179d_20260506,ETHUSDT,300,288,0.527778,0.470135,0.584689,0.013257,0.013257,1.3257,0.447,0.172889,0.920036,,1,5,-2.1138,False,False,,,,,,0.0,no significant edge or insufficient data; wilson_ci_lower=0.4701<=0.515; wf_ev_pos_folds=1/5<2/3; cross_cell_adj_p=0.920036 not<0.05
blocked,h300_btc_v3_89d_20260506,BTCUSDT,900,96,0.552083,0.452516,0.647642,0.012667,0.012667,1.2667,0.2501,0.153717,0.920036,0.5,0,5,-4.3665,False,False,,0.472006,0.467769,0.424,,0.0,no significant edge or insufficient data; wilson_ci_lower=0.4525<=0.515; wf_ev_pos_folds=0/5<2/3; cross_cell_adj_p=0.920036 not<0.05
blocked,h1800_sol_v3_179d_20260427,SOLUSDT,900,92,0.521739,0.420857,0.620879,0.01263,0.01263,1.263,0.2485,0.338329,0.920036,0.52,3,5,5.4057,False,False,,,,,False,0.0,no significant edge or insufficient data; wilson_ci_lower=0.4209<=0.515; wf_ev_pos_folds=3/5<2/3; cross_cell_adj_p=0.920036 not<0.05
blocked,h180_btc_v3_329d_20260506,BTCUSDT,300,288,0.527778,0.470135,0.584689,0.011069,0.011069,1.1069,0.3848,0.172889,0.920036,0.58,2,5,-0.6218,False,False,,,,,,0.0,no significant edge or insufficient data; wilson_ci_lower=0.4701<=0.515; wf_ev_pos_folds=2/5<2/3; cross_cell_adj_p=0.920036 not<0.05
blocked,h300_sol_v3_89d_20260506,SOLUSDT,900,95,0.526316,0.426853,0.623733,0.009053,0.009053,0.9053,0.1714,0.303979,0.920036,0.56,3,5,5.4057,False,False,,,,,False,0.0,no significant edge or insufficient data; wilson_ci_lower=0.4269<=0.515; wf_ev_pos_folds=3/5<2/3; cross_cell_adj_p=0.920036 not<0.05
blocked,h1800_btc_v3_179d_20260506,BTCUSDT,1800,48,0.5,0.363893,0.636107,0.008812,0.008812,0.8812,0.1224,0.5,0.934579,0.52,4,5,51.2944,True,False,,1.0,1.0,0.0,False,0.0,no significant edge or insufficient data; n_passed=48<50; wilson_ci_lower=0.3639<=0.515; cross_cell_adj_p=0.934579 not<0.05
blocked,h1200_sol_v3_89d_20260506,SOLUSDT,900,95,0.515789,0.416652,0.613699,0.008316,0.008316,0.8316,0.1581,0.37912,0.920036,,3,5,5.4057,False,False,,,,,False,0.0,no significant edge or insufficient data; wilson_ci_lower=0.4167<=0.515; wf_ev_pos_folds=3/5<2/3; cross_cell_adj_p=0.920036 not<0.05
blocked,h1200_btc_v3_179d_20260506,BTCUSDT,300,288,0.510417,0.452927,0.567632,0.007146,0.007146,0.7146,0.2483,0.361837,0.920036,0.5,2,5,-0.6218,False,False,,,,,,0.0,no significant edge or insufficient data; wilson_ci_lower=0.4529<=0.515; wf_ev_pos_folds=2/5<2/3; cross_cell_adj_p=0.920036 not<0.05
blocked,h180_sol_v3_89d_20260427,SOLUSDT,1800,46,0.478261,0.341247,0.618626,0.007087,0.007087,0.7087,0.099,0.615959,0.989166,0.52,,,,,True,error: timed out,,,,False,0.0,no significant edge or insufficient data; n_passed=46<50; wilson_ci_lower=0.3412<=0.515; walk_forward_skipped:insufficient_data
blocked,h1800_sol_v3_179d_20260506,SOLUSDT,300,287,0.515679,0.458037,0.572908,0.006087,0.006087,0.6087,0.2061,0.297622,0.920036,,0,5,-2.8507,False,False,,0.490668,0.469101,2.157,False,0.0,no significant edge or insufficient data; wilson_ci_lower=0.4580<=0.515; wf_ev_pos_folds=0/5<2/3; cross_cell_adj_p=0.920036 not<0.05
